,soundID,date_run,songTitle,authorName,private,duration,album,scheduleSearchTime,numTimesUsed,artist_id,uniqueId,nickname,createTime,verified,secUid,relation,openFavorite,commentSetting,duetSetting,stitchSetting,privateAccount
1092,6800996740322297858,04/30/21,Savage,Megan Thee Stallion,False,60,Suga,0,23900000,6.748929703376537e+18,theestallion,Megan Thee Stallion,1571358379.0,True,MS4wLjABAAAA_uxT8W-lPWnJwUoLQ8v1XUDdpR3SIdz_XYfcHEhK9K2ai6pyovpIvfSqZpyAIskO,0.0,False,0.0,0.0,0.0,False
1093,6917681680337602562,04/30/21,Pierre,Ryn Weaver,False,45,The Fool,0,89100,,,,,,,,,,,,
1094,6919687211701062406,04/30/21,Aint No simpin,Where’s the hoodie Tee?,False,9,,0,1400000,13939630.0,tboogiewitoutthehoodie,Where’s the hoodie Tee?,1445919271.0,False,MS4wLjABAAAAus0VHYTUUrchgTsXym5wKZCRk4I-sVV3-jTlqSTKu_A,0.0,False,0.0,0.0,0.0,False
1095,6941499976073611266,04/30/21,Unlearn,benny blanco,False,45,Unlearn,0,4136,6.898757638894929e+18,itsbennyblanco,benny blanco,1606242296.0,True,MS4wLjABAAAAB5Hi6QdT1eoKxV_hwjZOWp1e_3Zwn8V8ibHOy0SGSvCIaOMl1Y0c8RSr1xH_EarJ,0.0,False,0.0,0.0,0.0,False
1096,6917180790958721026,04/30/21,U Can't Touch This,M.C. Hammer,False,45,Countdown To The New Year,0,311,,,,,,,,,,,,
1097,6878254533743478785,04/30/21,oops!,Yung Gravy 🍯,False,30,Gasanova,0,348000,6.664570540814746e+18,yunggravy,Yung Gravy 🍯,1551716281.0,True,MS4wLjABAAAAs82ClDdwS7qk2rbaEmdA2P5js5sxV6MR4udE9wRzebxUsxS3CLM7CMGyYufsZApP,0.0,False,0.0,0.0,0.0,False
1098,6685148791563094797,04/30/21,Shipyard Sample OriginalMix,Official Sound Studio,False,64,,0,432,,,,,,,,,,,,
1099,6955743585069271810,04/30/21,orijinal ses,suleyman mazlum 21,False,12,,0,67,6.624409107192775e+18,suleyman21a,suleyman mazlum 21,1542366414.0,False,MS4wLjABAAAAxFW1HrgfhJ52_3HhcDuz1pcpbb4-SFh6BOhHoZw0WXTbh-CVLIhorsSR-Sxsq6mI,0.0,False,0.0,0.0,0.0,False
1100,6777297334809135106,04/30/21,Acoustic Guitar Stroll,Dow Brain,False,114,,0,31000,,,,,,,,,,,,
1101,6938722782071409414,04/30/21,Originalton,YZ,False,19,,0,1248,6.717651461067605e+18,youneszarou,YZ,1564046472.0,True,MS4wLjABAAAALP9H8t1_SVmfuAKXV1o9K8XqiaFLxm2ae-EJ5_AJcwogcI_d9btuf_fjbjFOMNpN,0.0,False,0.0,0.0,0.0,False
1102,6866382651020806146,04/30/21,Wii Shop Channel Trap,Osrsbeatz,False,60,Wii Shop Channel Trap,0,131600,,,,,,,,,,,,
1103,6955509300177439494,04/30/21,son original,Jujukick🥊,False,8,,0,47,6.59816315915495e+18,jujukick,Jujukick🥊,1538469407.0,False,MS4wLjABAAAAiLmKX__uK3bQ32TEv0rXXRZYIIId-grG38tumsXf0RdyJXbv7JwlVOrmtNP2dppK,0.0,False,0.0,0.0,0.0,False
1104,6917956937933916934,04/30/21,Drivers License x Crank Dat Soulja Boy,James Lawrence,False,23,,0,23400,6.536665730643924e+18,jameslmichael,James Lawrence,1521907289.0,False,MS4wLjABAAAAP59OXt-SHEKKYa9nnSTYcfpfx5-iU9DThS9oq_qThtPjhat3csEaUKS94Ke_pp1P,0.0,False,0.0,0.0,0.0,False
1105,6929598292145752066,04/30/21,Passionfruit,Drake,False,45,More Life,0,83400,,,,,,,,,,,,
1106,5000000000755653951,04/30/21,Jump Around,House Of Pain,False,30,Turbo - Music From The Motion Picture,0,156100,,,,,,,,,,,,
1107,6802558434660059138,04/30/21,One Million,Tujamo & LOTTEN,False,60,One Million,0,1421,,,,,,,,,,,,
1108,6955546898702945029,04/30/21,Originalton,🌸Lisaandlena🌸,False,59,,0,6,6.80478359755224e+18,lisaandlena,🌸Lisaandlena🌸,1587741440.0,True,MS4wLjABAAAAwQfR2V9xnOxlvvgyIBSY1QR6r3Kv_iAAscCGKQwOATjF9XEEm_-LOnFRmG5RxTPt,0.0,False,0.0,0.0,0.0,False
1109,5000000001450295931,04/30/21,Parado No Bailão,MC L da Vinte & MC Gury,False,30,Parado No Bailão,0,60200,,,,,,,,,,,,
1110,6948696672587287298,04/30/21,orijinal ses,👑Zaza Dayii👑,False,14,,0,56,6.595805672599912e+18,bulentgocmen0,👑Zaza Dayii👑,1535706766.0,False,MS4wLjABAAAA2UpX1_ODoA_x4q7cAn2zcCykCKV-4GlLEy11bnDizVA38YTODj5-KsR9vepIg2-x,0.0,False,0.0,0.0,0.0,False
1111,6945193135102249733,04/30/21,Ryze Hendricks Weird Bars part 25,Ryze Hendricks,False,22,,0,73500,6.746999559879247e+18,ryzehendricksmusic,Ryze Hendricks,1570908624.0,False,MS4wLjABAAAAuo2e_Swx7sjGUGesu5yVkC3h7gOlYnO6EEnFNXdNof_3MRo8HA2hQn-kAKDMa9nI,0.0,False,0.0,0.0,0.0,False
1112,6777624196089399297,04/30/21,I Wanna Know You,BLVKSHP,False,171,,0,127900,,,,,,,,,,,,
1113,6696412691189204994,04/30/21,Gimme More,Britney Spears,False,30,Blackout,0,1200000,1.2070683917590938e+17,britneyspears,Britney Spears,1469150268.0,True,MS4wLjABAAAAFj5nLcLHTeVb_1yElZ_mxk7BF45uzKs0ZQTSbBmmDvbTW3gWhSvCZcRZhmbm0K-e,0.0,False,0.0,0.0,0.0,False
1114,6803401211350353922,04/30/21,Spicy,Bobby Newberry,False,60,Spicy,0,660,,,,,,,,,,,,
1115,6930170459019282434,04/30/21,Hi hi Good Morning,kingpuntocom beats,False,60,Virales Tik,0,14100,,,,,,,,,,,,
1116,6928461140771768322,04/30/21,Ross & Rachel,Simone Valentina,False,60,Ross & Rachel,0,2007,,,,,,,,,,,,
1117,227302284517642240,04/30/21,Just the Two of Us,"Grover Washington, Jr.",False,30,Winelight,0,781400,,,,,,,,,,,,
1118,6955652174642711301,04/30/21,The monkey,MOONTELLTHAT,False,18,,0,33,6.807620910251116e+18,moontellthat,MOONTELLTHAT,1585022942.0,False,MS4wLjABAAAAHIWJ2DrcEjH9tK4pJGy5KsUmNipBMeQJC2S5Pe88eT3kUo9w6lspBTtLRaWNOZW9,0.0,False,0.0,0.0,0.0,False
1119,6774246499539748865,04/30/21,BETTER DAYS,Darren Gilliland,False,201,,0,326,,,,,,,,,,,,
1120,6909225712700443393,04/30/21,90210,favsoundds ,False,25,,0,1930,6.5569037141369e+18,favsoundds,favsoundds ,1535395477.0,True,MS4wLjABAAAAlX7jPnNJMoU0Bl7tp-P_khZSqUOMkuq0Z3JGWhCm5Xk8PX7_QsChNUnpIvSLyk6k,0.0,False,0.0,0.0,0.0,False
1121,6956658328806312709,04/30/21,sonido original,NOTICIAS MILLENNIAL,False,15,,0,66,6.878622341347132e+18,noticiasmillennial,NOTICIAS MILLENNIAL,1601554210.0,False,MS4wLjABAAAAo2wfgtqhJUAgcHAbKzFekaVBHiHC4p2zqZxy2PSGcsmIwb5THhFV82VqKtJyHoX7,0.0,False,0.0,0.0,0.0,False
1122,6839750570077587457,04/30/21,"Valentine, video, romantic, warm(832360)",zomap,False,164,,0,175,,,,,,,,,,,,
1123,6542955494212897537,04/30/21,BOOM,Tiësto ,False,30,,0,205000,2.5974725713310515e+17,tiesto,Tiësto ,1502300086.0,True,MS4wLjABAAAA6TItPG53XSD_y72fTZjIfPzdoMrp7sQe_IjKrkT4vV1vVefwKtvOcuTN90sHWTyS,0.0,False,0.0,0.0,0.0,False
1124,6924781002640444166,04/30/21,Yeeyee follow me,Shauni 🦋,False,10,,0,376,1.7546824822052045e+17,itzshauni,Shauni 🦋,1482206427.0,True,MS4wLjABAAAAlURCMlyMMr4tOsL3wE252EzKfztMKbait7KR2Me2Gk3gpYddTS2fM4d4QDRdXM1J,0.0,False,0.0,0.0,0.0,False
1125,6953166955209575173,04/30/21,sonido original,✨Mar✨,False,59,,0,47,6.786683779529999e+18,marhernandez720,✨Mar✨,1603137862.0,False,MS4wLjABAAAACkIZjFYc2dZjB4oHl41v9UVfYQvP2jQ_xh9PDbpF3SSBLEN2KTYO1UEc5QIphI_e,0.0,False,0.0,0.0,0.0,False
1126,6955644411460340486,04/30/21,original sound - Animalking008,Animalking008,False,14,,0,29,6.953922052340368e+18,animalking008,Animalking008,1619086643.0,False,MS4wLjABAAAA6iUSK2TbBDZD2afLsG7ru870Khd7aCFDg5BCByyI9qFXg_kA5KkuDqjdfiulI7xW,0.0,False,0.0,0.0,0.0,False
1127,6812555804491646978,04/30/21,Chill Bill,Chill Bill,False,60,Chill Bill,0,49800,,,,,,,,,,,,
1128,6901831906913028866,04/30/21,call out my name,chillytunees,False,58,,0,56400,6.81661423556672e+18,chillytunees,chillytunees,1587116862.0,False,MS4wLjABAAAAxWlHPGX3eaDFW_qILSJIrHlYuRiAymCiGqDoDGBx7lx3Kb0dMJDuj575E7lnzuu8,0.0,False,0.0,3.0,3.0,False
1129,6917033573413374726,04/30/21,Dreams,shawty 🌙,False,17,,0,61600,6.781141142136047e+18,shawtynixx,shawty 🌙,1596305928.0,False,MS4wLjABAAAAj4rruQc_kZVs7XUFh2j_sj4m89WZdBt4KfjPofd9TPQ7S5jmVqa6wySIJ8futcib,0.0,False,0.0,0.0,0.0,False
1130,6901568384509413377,04/30/21,acting like that (feat. Machine Gun Kelly),yungblud,False,30,weird!,0,5790,3.15929599295701e+17,yungblud,yungblud,1515695001.0,True,MS4wLjABAAAAOuRXEtNwgK63BzK_y2VaMobCCBnorLreWo0AB4TCKONeRESG3n6VsA0meLYn6mfg,0.0,False,0.0,0.0,0.0,False
1131,6696414685920495617,04/30/21,Footloose,Kenny Loggins,False,30,"Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",0,72400,,,,,,,,,,,,
1132,6919486288265480194,04/30/21,Stars,PRETTYMUCH,False,60,Stars,0,2086,,,,,,,,,,,,
1133,6807984440287955717,04/30/21,how would they know bad girls club,Chris Gleason,False,22,,0,226200,6.76145035543362e+18,cgleason22,Chris Gleason,1575025164.0,False,MS4wLjABAAAAxHjxJyDymtiYiXfPMemEGWnvbM_fy2buVDGSRLx9wvcqzoTjAWgO3IV62WwFYgOJ,0.0,False,0.0,0.0,0.0,False
1134,6841255111478478849,04/30/21,Sad Emotional Piano,DS Productions,False,60,Sad Emotional Piano,0,117700,,,,,,,,,,,,
1135,6721032928874203137,04/30/21,Wait (The Whisper Song),D-Roc,False,30,United States Of Atlanta,0,101100,6.795481977862424e+18,yingyangtwins,D-Roc,1583069547.0,True,MS4wLjABAAAAmWgUaGLQKYQc-z9tsPtCFKxJKXIIg0Dm91A2fwDfJ3HzaRJN-2fMYOqQs4O5O55W,0.0,False,0.0,0.0,0.0,False
1136,6938436081046882305,04/30/21,Survivor,Tottywat,False,60,Survivor,0,392,,,,,,,,,,,,
1137,302304068389978112,04/30/21,"Frolic (From “Curb Your Enthusiasm"")",London Music Works,False,30,100 Greatest TV Themes Vol. 3,0,30900,,,,,,,,,,,,
1138,6824895008496306949,04/30/21,Cyber Sex - Doja Cat,Tyler Warwick,False,8,,0,2500000,6.668046432081134e+18,tyler_warwick,Tyler Warwick,1586138808.0,False,MS4wLjABAAAALBbszyP8a09y62wBWgVllufS4BMl8o4HWoR7X2VJNmS6rYcwjSpdz5uTH8Xe8wLv,0.0,False,0.0,0.0,0.0,False
1139,6769019970169866241,04/30/21,MY NEW SONG (LET IT PLAY),CaiNo,False,194,,0,5591,,,,,,,,,,,,
1140,6915368191875090433,04/30/21,Black Hole,Griff,False,60,Black Hole,0,24000,6.825537373142222e+18,wiffygriffy,Griff,1589195833.0,True,MS4wLjABAAAA7t5-a_hxnBTPk4u2cSdXMrRlM2gl9QRUkSuurhhaoal5jPRqbk0TRInpx1oXU8Kn,0.0,False,0.0,0.0,0.0,False
1141,153013783613878272,04/30/21,Redneck! (The Redneck National Anthem),Vernon Oxford,False,30,I Just Want to Be a Country Singer,0,908,,,,,,,,,,,,
1142,6679971638613641985,04/30/21,motorcycle dududu,FUNNY ,False,15,,0,661400,,,,,,,,,,,,
1143,6850110789278238722,04/30/21,Epic trailer music(838696),Lyrebirds music,False,125,,0,559,,,,,,,,,,,,
