,date_run,songTitle,authorName,private,duration,album,scheduleSearchTime,numTimesUsed,artist_id,uniqueId,nickname,createTime,verified,secUid,relation,openFavorite,commentSetting,duetSetting,stitchSetting,privateAccount
6940871396524312577,05/04/21,Starstruck,Olly Alexander,False,25,Starstruck,0,83100,6802615574738289669,ollyalexander,Olly Alexander,1583829734,True,MS4wLjABAAAAYumpJuJBDBDx-bTSKzF7Mt7_453xzYbj64kNRXnhP9EoRWxeRouiiymKrFOvERqP,0,False,0,0,0,False
6790134598555666434,05/04/21,RAMPAGE,GRAVEDGR,False,60,6 FEET UNDER,0,210500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6669854674113317638,05/04/21,BREAKFAST CHALLENGE,spence,False,48,BREAKFAST CHALLENGE,0,5400000,6615180516264427526,spence,spence,1540495721,True,MS4wLjABAAAAAssioYrOY9ciXQdgAOmYKxH3vFTlQFp2qK_fesxuuzpwzWChYVIVfyxOcHb-tJD-,0,False,0,0,0,False
6937732507425048578,05/04/21,All To Me,Giveon,False,30,When It's All Said And Done... Take Time,0,2381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6819669674922362881,05/04/21,I'm So Hungry,Karter Zaher,False,60,I'm So Hungry,0,218200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6779232045043698438,05/04/21,Bad Guy X Bury a Friend X Walls Could Talk,rapidsongs ,False,15,,0,352300,101389484209885184,rapidsongs,rapidsongs ,1464544652,False,MS4wLjABAAAAy6WWiqlfWRP_UP1dhq1Q9jPZ_-LLoGOlKuIWG7uGrlDnz_HPlEFVhuBtkF6_jA1E,0,False,0,0,0,False
6826096341966456833,05/04/21,Buss It,Erica Banks,False,60,Buss It,0,5700000,6811305929884451845,realericabanks,Erica Banks,1585881152,True,MS4wLjABAAAAfGjiWnOvqsWJBhxEl1637jHe2W55x4FsWxjvyWHeOPv7Uw59qUJope_0hiHvlrRe,0,False,0,0,0,False
224254646075260928,05/04/21,Low (feat. T-Pain),T-Pain,False,30,Mail on Sunday,0,142200,231611294947262464,tpain,T-Pain,1495591991,True,MS4wLjABAAAAlNclKcL3ZfH2YxwFO6YQ11HfdAE8S-IDaKezjskeHdjRPW1tEKT6a9rJ_0P7pTdf,0,False,0,0,0,False
6946640555162077957,05/04/21,sonido original,Angela Gavino,False,9,,0,1727,6781060187430355973,angelagavino,Angela Gavino,1581833490,False,MS4wLjABAAAA0JE7Q1jbjqgnvP4rg48c3LH67wfjBe-yaS0KrBX2m3LcSFSOpyuE3TxtUx62JrOr,0,False,0,0,0,False
6956246752337267462,05/04/21,sonido original,Jhoan Roa,False,12,,0,994,6781782177510196229,jhoan.roa,Jhoan Roa,1578978143,False,MS4wLjABAAAAts9p46OCq6cssw4MUBjN1K2_081KUN7nTJ6NC3nACFtGVKgk52jXtZrD2fnpMr4Q,0,False,0,0,0,False
6806086140819425281,05/04/21,Control,Zoe Wees,False,30,Control,0,86700,6645254536401567750,zoeweesofficial,Zoe Wees,1572020937,True,MS4wLjABAAAA1uDaUpAZ5tGpIc9n5KeCL509qsr4WMey3NXGLIqo4fiBg0Kz7Qj_EHgY07EY1JZ8,0,False,0,0,0,False
6761759820828641281,05/04/21,Love Is Gone (feat. Dylan Matthew) (Acoustic),"SLANDER, Dylan Matthew",False,30,Love Is Gone (Acoustic),0,468900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6936143790793296642,05/04/21,оригинальный звук,l'm God,False,14,,0,73900,6557238859020304390,_loki.edits,l'm God,1526739148,False,MS4wLjABAAAA7VAkM8FXnMBSkmwa4LRO9SE70fhs_DfYXJ1b6Sn6XEbvKIZsoyyhHXmaV-tbSOEm,0,False,0,0,0,False
6920415959060580354,05/04/21,Away,Ayra Starr,False,60,Ayra Starr,0,56000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6608565900989696774,05/04/21,Cotton Eyed Joe,The Hit Crew,False,14,Ultimate Dance Party Favorites,0,410800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6905484726061091585,05/04/21,dead man walking,favsoundds ,False,28,,0,332400,6556903714136899590,favsoundds,favsoundds ,1535395477,True,MS4wLjABAAAAlX7jPnNJMoU0Bl7tp-P_khZSqUOMkuq0Z3JGWhCm5Xk8PX7_QsChNUnpIvSLyk6k,0,False,0,0,0,False
6867641385273527046,05/04/21,it was gay,annie,False,8,,0,40400,6754529298902123525,achilleshateaccount,annie,1572637585,False,MS4wLjABAAAAtP-8uuWxPulLDwBWxWigmFnGLuVkIeFPYwn4vSMoNYejo-3u4EreoRREROPG_D_b,0,False,0,0,0,False
