,soundID,date_run,followingCount,followerCount,heartCount,videoCount,diggCount,heart
6936615242126413062,6840149587802475270,05/04/21,273,1282,7834,31,153,7834
6953734458994363650,6840149587802475270,05/04/21,4905,3567,25800,128,11400,25800
6949638340295675142,6840149587802475270,05/04/21,2132,2776,46100,279,7886,46100
6921150210949336326,6757872491160406017,05/04/21,69,7400000,285300000,132,191,285300000
6911191601322806534,6757872491160406017,05/04/21,2453,80000000,846700000,1420,6719,5100000000
6918445227392945414,6757872491160406017,05/04/21,595,65200000,1400000000,295,7366,1400000000
6903273903095811333,6757872491160406017,05/04/21,17,2600000,26000000,70,2496,26000000
6909946292420627718,6757872491160406017,05/04/21,110,72500,5000000,13,1901,5000000
6902876799773068546,6757872491160406017,05/04/21,210,13900000,484200000,903,5181,484200000
6897205628289191170,6757872491160406017,05/04/21,164,1400000,8000000,531,3651,8000000
6925559746128907526,6757872491160406017,05/04/21,14,45400000,1000000000,688,2132,1000000000
6912175748405005573,6757872491160406017,05/04/21,10,2500000,128600000,1057,2513,128600000
6914018343838125318,6757872491160406017,05/04/21,105,26800000,322500000,155,5174,322500000
6902425413964811521,6757872491160406017,05/04/21,1034,2400000,18300000,1070,15400,18300000
6907730530406616326,6757872491160406017,05/04/21,185,75800,4200000,322,6822,4200000
6911640089311333633,6757872491160406017,05/04/21,303,277300,3500000,1696,32100,3500000
6903621998144965894,6757872491160406017,05/04/21,322,9500000,384300000,1037,2694,384300000
6897850504940883202,6757872491160406017,05/04/21,5,565600,17400000,342,1515,17400000
6918850874559286533,6757872491160406017,05/04/21,125,41900000,0,1177,2771,2300000000
6904697686654520581,6757872491160406017,05/04/21,281,22400000,1100000000,598,26400,1100000000
6915993658454068482,6757872491160406017,05/04/21,251,10400000,174200000,806,1272,174200000
6910302469125836038,6757872491160406017,05/04/21,2306,27000000,1700000000,1416,32700,1700000000
6911167554052508934,6757872491160406017,05/04/21,4908,19800000,1300000000,1375,5568,1300000000
6914921016208674049,6757872491160406017,05/04/21,3,2900000,36500000,369,859,36500000
6898897708350721281,6757872491160406017,05/04/21,110,755100,4000000,342,4223,4000000
6915920459557047558,6757872491160406017,05/04/21,12,658500,13800000,93,8211,13800000
6907931548411038982,6757872491160406017,05/04/21,245,160900,2000000,66,887,2000000
6919116412174732546,6757872491160406017,05/04/21,41,74100,1800000,302,8640,1800000
6910860464041872641,6757872491160406017,05/04/21,1,728400,4800000,214,1427,4800000
6910263235870575878,6757872491160406017,05/04/21,515,517600,24400000,171,3499,24400000
6921798659608808709,6757872491160406017,05/04/21,51,463400,11000000,603,7098,11000000
6926255184490335494,6757872491160406017,05/04/21,467,66800,2300000,396,19800,2300000
6907865804386209025,6757872491160406017,05/04/21,50,1200000,29800000,859,49600,29800000
6929445130122431750,6757872491160406017,05/04/21,40,9800000,227000000,327,466,227000000
6914360669047393542,6757872491160406017,05/04/21,278,1200000,23300000,51,8390,23300000
6918093097666694405,6757872491160406017,05/04/21,8952,63100,2400000,2245,77200,2400000
6906221335681305861,6757872491160406017,05/04/21,66,9700000,301500000,352,2449,301500000
6902596788600016130,6757872491160406017,05/04/21,104,6300000,100000000,693,1489,100000000
6911927212295998726,6757872491160406017,05/04/21,4908,19800000,1300000000,1375,5568,1300000000
6911817394272914694,6757872491160406017,05/04/21,14,45400000,1000000000,688,2132,1000000000
6912255474347920642,6757872491160406017,05/04/21,0,7900000,109300000,111,37,109300000
6910713183351213317,6757872491160406017,05/04/21,55,6500000,186400000,330,9255,186400000
6914370162108026118,6757872491160406017,05/04/21,305,1200000,15600000,189,4722,15600000
6911386335420943622,6757872491160406017,05/04/21,583,14100000,309500000,228,21800,309500000
6912844618883206405,6757872491160406017,05/04/21,4,2000000,23000000,165,852,23000000
6915347246573817089,6757872491160406017,05/04/21,5,56300,2300000,523,9890,2300000
6910000542794272002,6757872491160406017,05/04/21,19,61000,1600000,41,4213,1600000
6898216884047514882,6757872491160406017,05/04/21,4332,6600000,239200000,6797,6019,239200000
6945076813274041605,6757872491160406017,05/04/21,48,436900,9600000,91,16600,9600000
6912759493528915202,6757872491160406017,05/04/21,193,23900000,350700000,469,15000,350700000
6907014772110134533,6757872491160406017,05/04/21,35,17600000,702300000,751,2180,702300000
6913695031563996422,6757872491160406017,05/04/21,354,923300,41500000,1222,53200,41500000
6907033127164644614,6757872491160406017,05/04/21,159,4800000,167000000,339,3645,167000000
6954830519905438981,6777331815179880449,05/04/21,87,745200,13300000,312,18100,13300000
6946700144398191877,6777331815179880449,05/04/21,97,1700000,105600000,1488,58,105600000
6954397535347739909,6777331815179880449,05/04/21,56,5800000,200100000,1272,29400,200100000
6934819468505877765,6777331815179880449,05/04/21,10,83900,533000,44,75,533000
6947331049944894726,6777331815179880449,05/04/21,97,1700000,105600000,1488,58,105600000
6954093797420567814,6777331815179880449,05/04/21,4278,658900,42200000,892,59700,42200000
6944073365132971270,6777331815179880449,05/04/21,29,233500,911400,19,251,911400
6954523149580946694,6777331815179880449,05/04/21,542,2000000,66100000,412,9431,66100000
6947840575001431301,6777331815179880449,05/04/21,211,357900,27200000,1061,4378,27200000
6958165246892592390,6777331815179880449,05/04/21,54,386000,6400000,217,54,6400000
6935232906751134981,6777331815179880449,05/04/21,83,102200,1900000,13,242,1900000
6930716397890718981,6777331815179880449,05/04/21,44,2700000,86600000,606,265,86600000
6942619431457606917,6777331815179880449,05/04/21,369,712000,8900000,46,23500,8900000
6937648877789121798,6777331815179880449,05/04/21,19,43000,737100,40,898,737100
6958054920935279877,6777331815179880449,05/04/21,1892,5000000,93300000,1062,5265,93300000
6938479711806835974,6777331815179880449,05/04/21,156,468400,6600000,307,2507,6600000
6957760558066044165,6777331815179880449,05/04/21,57,2100000,42900000,982,13500,42900000
6932857457232383238,6777331815179880449,05/04/21,1239,35900,204400,117,2555,204400
6953707403741252869,6777331815179880449,05/04/21,540,81700,1500000,337,196,1500000
6950265392065498374,6777331815179880449,05/04/21,102,76300,2200000,180,1655,2200000
6957184165498391813,6777331815179880449,05/04/21,64,245900,3900000,206,4773,3900000
6955324844598775042,6777331815179880449,05/04/21,1,5744,33200,26,80,33200
6954906097010494725,6777331815179880449,05/04/21,285,605600,21000000,677,89100,21000000
6940344798125559045,6777331815179880449,05/04/21,117,314300,927000,30,424,927000
6938093406690282753,6777331815179880449,05/04/21,15,54900,296500,349,497,296500
6942449245999910149,6777331815179880449,05/04/21,78,913200,14000000,338,317,14000000
6938428877316427014,6777331815179880449,05/04/21,258,44100,408000,390,6473,408000
6946797850823003394,6777331815179880449,05/04/21,75,5318,37600,104,882,37600
6942107767805152518,6777331815179880449,05/04/21,1090,2076,5462,53,41,5462
6941865832540540166,6777331815179880449,05/04/21,21,10100,117200,15,221,117200
6947296778836348165,6777331815179880449,05/04/21,1183,82800,1700000,399,18900,1700000
6943857874296687873,6777331815179880449,05/04/21,43,3150,4344,26,8,4344
